"","lon","lat","year","year90"
"183",89.1712,42.9567,"2017",75.7653
"184",89.1712,42.9567,"2018",37.556122
"185",89.1853,42.9469,"2015",54.112212
"186",89.1853,42.9469,"2016",84.61737
"187",89.1853,42.9469,"2017",72.234716
"188",89.1853,42.9469,"2018",44.801059
"189",91.0758,29.6339,"2013",80.742304
"190",91.0758,29.6339,"2014",68.785706
"191",91.0758,29.6339,"2015",72.7041
"192",91.0758,29.6339,"2016",78.3291065
"193",91.0758,29.6339,"2017",69.326564
"194",91.0758,29.6339,"2018",73.31634
"195",91.0832,29.6347,"2013",73.1331296
"196",91.0832,29.6347,"2014",71.510232
"197",91.0832,29.6347,"2015",78.7924644
"198",91.0832,29.6347,"2016",74.202645
"199",91.0832,29.6347,"2017",69.836776
"200",91.0832,29.6347,"2018",73.31634
"201",91.105,29.6647,"2013",75
"202",91.105,29.6647,"2014",72.6293068
"203",91.105,29.6647,"2015",75.540812
"204",91.105,29.6647,"2016",77.95916
"205",91.105,29.6647,"2017",61.255112
"206",91.105,29.6647,"2018",72.295931
"207",91.1264,29.6444,"2013",76.7533884
"208",91.1264,29.6444,"2014",67.75506
"209",91.1264,29.6444,"2015",67.70404
"210",91.1264,29.6444,"2016",85.853157
"211",91.1264,29.6444,"2017",69.377566
"212",91.1264,29.6444,"2018",73.704092
"213",91.13,29.6514,"2013",71.244928
"214",91.13,29.6514,"2014",69.2708124
"215",91.13,29.6514,"2015",71.9388
"216",91.13,29.6514,"2016",85.00002
"217",91.13,29.6514,"2017",61.693884
"218",91.13,29.6514,"2018",73.704092
"219",91.1303,29.635,"2013",67.3469
"220",91.1303,29.635,"2014",71.938788
"221",91.1303,29.635,"2015",76.765292
"222",91.1303,29.635,"2016",76.30101
"223",91.1303,29.635,"2017",71.7561964
"224",91.1303,29.635,"2018",73.704092
"225",91.7603,29.2395,"2015",61.285724
"226",91.7603,29.2395,"2016",56.436625
"227",91.7603,29.2395,"2017",75.86734
"228",91.7603,29.2395,"2018",76.127542
"229",91.7716,29.2404,"2015",59.571452
"230",91.7716,29.2404,"2016",69.923495
"231",91.7716,29.2404,"2017",75.86734
"232",91.7716,29.2404,"2018",76.127542
"233",92.0404,31.467,"2015",43.0364774
"234",92.0404,31.467,"2016",29.43874
"235",92.0404,31.467,"2017",40.51018
"236",92.0404,31.467,"2018",52.2959
"237",92.052,31.4717,"2015",64.112232
"238",92.052,31.4717,"2016",43.21424
"239",92.052,31.4717,"2018",52.2959
"240",93.5046,42.8404,"2015",31.1224
"241",93.5046,42.8404,"2016",40.79079
"242",93.5046,42.8404,"2017",73.36736
"243",93.5046,42.8404,"2018",67.306084
"244",93.5182,42.8206,"2015",34.54084
"245",93.5182,42.8206,"2016",54.46425
"246",93.5182,42.8206,"2017",73.346952
"247",93.5182,42.8206,"2018",79.969369
"248",94.4732,29.5662,"2015",57.091868
"249",94.4732,29.5662,"2016",59.56635
"250",94.4732,29.5662,"2017",64.433658
"251",94.4852,29.5742,"2015",61.051032
"252",94.4852,29.5742,"2016",54.36221
"253",94.4852,29.5742,"2017",60.622464
"254",96.9785,33.0012,"2015",58.405099
"255",96.9785,33.0012,"2016",46.63268
"256",96.9785,33.0012,"2017",68.72444
"257",96.9785,33.0012,"2018",60.7143
"258",97.1816,31.1519,"2015",64.224476
"259",97.1816,31.1519,"2016",68.03567
"260",97.1816,31.1519,"2017",67.505062
"261",97.1816,31.1519,"2018",63.765296
"262",97.3725,37.374,"2015",77.357124
"263",97.3725,37.374,"2016",57.24494
"264",97.3725,37.374,"2017",66.5816
"265",97.526,31.2825,"2015",56.68369
"266",97.526,31.2825,"2016",72.06635
"267",97.526,31.2825,"2017",67.70404
"268",98.2542,39.8578,"2014",81.32655
"269",98.2542,39.8578,"2015",68.3673
"270",98.2542,39.8578,"2018",71.775536
"271",98.2679,39.7983,"2016",51.2755
"272",98.2679,39.7983,"2017",73.500012
"273",98.2679,39.7983,"2018",71.775536
"274",98.2912,39.7719,"2014",82.1429
"275",98.2912,39.7719,"2015",82.795956
"276",98.2912,39.7719,"2016",72.34696
"277",98.2912,39.7719,"2017",82.132684
"278",98.2912,39.7719,"2018",74.33674
"279",98.5008,39.731,"2015",67.846896
"280",98.5008,39.731,"2016",72.47451
"281",98.5008,39.731,"2017",75.66326
"282",98.5008,39.731,"2018",74.280618
"283",98.5086,39.7461,"2015",71.07146
"284",98.5086,39.7461,"2016",71.86227
"285",98.5086,39.7461,"2017",73.7245
"286",98.5086,39.7461,"2018",73.352054
"287",98.5508,24.4189,"2015",79.54078
"288",98.5508,24.4189,"2016",66.53058
"289",98.5508,24.4189,"2017",68.683652
"290",98.5508,24.4189,"2018",75.005102
"291",98.5746,24.4298,"2015",63.387748
"292",98.5746,24.4298,"2016",77.2959
"293",98.5746,24.4298,"2017",71.98982
"294",98.5746,24.4298,"2018",75.005102
"295",98.8565,25.8393,"2015",54.5152724
"296",98.8565,25.8393,"2016",50.53571
"297",98.8565,25.8393,"2017",58.75512
"298",98.8565,25.8393,"2018",53.658134
"299",98.8604,25.8532,"2015",54.428536
"300",98.8604,25.8532,"2016",53.54589
"301",98.8604,25.8532,"2017",54.683678
"302",98.8604,25.8532,"2018",61.831638
"303",99.1683,25.1055,"2015",66.988408
"304",99.1683,25.1055,"2016",68.8775
"305",99.1683,25.1055,"2017",72.989812
"306",99.1683,25.1055,"2018",71.63268
"307",99.1729,25.13,"2015",72.4295082
"308",99.1729,25.13,"2016",66.45405
"309",99.1729,25.13,"2017",65.775484
"310",99.1729,25.13,"2018",67.8571
"311",99.7037,27.8141,"2015",52.90814
"312",99.7037,27.8141,"2016",43.8776
"313",99.7037,27.8141,"2017",57.714324
"314",99.7037,27.8141,"2018",64.64284
"315",99.7103,27.8354,"2015",35.491171
"316",99.7103,27.8354,"2016",35.86736
"317",99.7103,27.8354,"2017",53.479564
"318",99.7103,27.8354,"2018",59.663288
"319",100.0798,23.8959,"2015",42.8571
"320",100.0798,23.8959,"2016",50.02551
"321",100.0798,23.8959,"2017",65.469364
"322",100.0798,23.8959,"2018",67.7290587
"323",100.0893,23.8801,"2015",76.5306
"324",100.0893,23.8801,"2016",72.1999055
"325",100.0893,23.8801,"2017",66.357112
"326",100.0893,23.8801,"2018",67.811182
"327",100.1186,34.3738,"2013",35.372466
"328",100.1186,34.3738,"2014",75.91836
"329",100.1186,34.3738,"2015",67.285676
"330",100.1186,34.3738,"2016",87.01531
"331",100.1186,34.3738,"2017",85.51022
"332",100.1619,25.6891,"2015",66.686588
"333",100.1619,25.6891,"2016",45.58677
"334",100.1619,25.6891,"2017",66.47956
"335",100.1619,25.6891,"2018",64.357128
"336",100.1805,26.81,"2015",56.12524
"337",100.1805,26.81,"2016",53.87752
"338",100.1805,26.81,"2017",61.367356
"339",100.1805,26.81,"2018",64.321414
"340",100.2172,25.5778,"2015",63.082754
"341",100.2172,25.5778,"2016",52.98467
"342",100.2172,25.5778,"2017",61.459192
"343",100.2172,25.5778,"2018",69.127568
"344",100.2243,26.8742,"2015",61.137464
"345",100.2243,26.8742,"2016",63.21428
"346",100.2243,26.8742,"2017",57.091868
"347",100.2243,26.8742,"2018",53.607114
"348",100.234,26.876,"2015",49.785716
"349",100.234,26.876,"2016",49.18368
"350",100.234,26.876,"2017",61.010216
"351",100.239,34.4785,"2015",71.153092
"352",100.239,34.4785,"2016",69.23471
"353",100.239,34.4785,"2017",73.346952
"354",100.4538,38.9388,"2015",75.744892
"355",100.4538,38.9388,"2016",77.67855
"356",100.4538,38.9388,"2017",79.142824
"357",100.4538,38.9388,"2018",75.35714
"358",100.4699,38.9473,"2015",73.377564
"359",100.4699,38.9473,"2016",69.94899
"360",100.4699,38.9473,"2017",77.581612
"361",100.4699,38.9473,"2018",72.80614
"362",100.6209,36.2751,"2015",78.92854
"363",100.6209,36.2751,"2016",77.0408
"364",100.6209,36.2751,"2017",68.153016
"365",100.6209,36.2751,"2018",61.892862
"366",100.7969,22.0252,"2015",75.0030408
"367",100.7969,22.0252,"2016",84.489805
"368",100.7969,22.0252,"2017",75
"369",100.7969,22.0252,"2018",66.806088
"370",100.8033,22.0061,"2015",69.000018
"371",100.8033,22.0061,"2016",39.71937
"372",100.8033,22.0061,"2017",64.887736
"373",100.8033,22.0061,"2018",61.40307
"374",100.9028,36.958,"2015",79.795922
"375",100.9028,36.958,"2016",80.510195
"376",100.9028,36.958,"2017",70.76534
"377",100.9028,36.958,"2018",74.372454
"378",100.978,22.821,"2015",68.091792
"379",100.978,22.821,"2016",73.92858
"380",100.978,22.821,"2017",67.571388
"381",100.9811,22.7603,"2015",61.469396
"382",100.9811,22.7603,"2016",41.93874
"383",100.9811,22.7603,"2017",62.102044
"384",100.9811,22.7603,"2018",69.591871
"385",101.524,36.6867,"2013",55.030572
"386",101.524,36.6867,"2014",52.938752
"387",101.524,36.6867,"2015",71.98982
"388",101.524,36.6867,"2016",69.00512
"389",101.524,36.6867,"2017",80.913288
"390",101.524,36.6867,"2018",77.137738
"391",101.5357,25.0461,"2015",49.2347
"392",101.5357,25.0461,"2016",62.14286
"393",101.5357,25.0461,"2017",61.612252
"394",101.5357,25.0461,"2018",60.7143
"395",101.5494,25.041,"2015",47.24492
"396",101.5494,25.041,"2016",55.81628
"397",101.5494,25.041,"2017",57.795956
"398",101.5494,25.041,"2018",66.520376
"399",101.5769,26.5927,"2014",68.724482
"400",101.5769,26.5927,"2015",67.642816
"401",101.5769,26.5927,"2016",65.61222
"402",101.5769,26.5927,"2017",67.948936
"403",101.5769,26.5927,"2018",78.050996
"404",101.6913,26.5679,"2015",75.142856
"405",101.6913,26.5679,"2016",57.39797
"406",101.6913,26.5679,"2017",64.1468792
"407",101.6913,26.5679,"2018",75.545914
"408",101.6938,26.5702,"2014",68.918386
"409",101.6938,26.5702,"2015",63.1748832
"410",101.6938,26.5702,"2016",52.37243
"411",101.6938,26.5702,"2017",73.9796
"412",101.6938,26.5702,"2018",75.545914
"413",101.6965,30.0913,"2015",49.84694
"414",101.6965,30.0913,"2016",36.448988
"415",101.6965,30.0913,"2017",59.142884
"416",101.7169,26.585,"2014",46.061244
"417",101.7169,26.585,"2015",60.683688
"418",101.7169,26.585,"2016",66.47956
"419",101.7169,26.585,"2017",59.1837
"420",101.7169,26.585,"2018",73.16328
"421",101.7452,26.5016,"2014",64.84692
"422",101.7452,26.5016,"2015",66.826496
"423",101.7452,26.5016,"2016",71.91329
"424",101.7452,26.5016,"2017",62.183676
"425",101.7452,26.5016,"2018",72.80614
"426",101.748,36.6428,"2013",61.561232
"427",101.748,36.6428,"2014",63.2653
"428",101.748,36.6428,"2015",64.061212
"429",101.748,36.6428,"2016",62.83163
